 Re{Ex} Im{Ex} Re{Ey} Im{Ey} Re{Ez} Im{Ez} Re{Hx} Im{Hx} Re{Hy} Im{Hy} Re{Hz} Im{Hz}
  0.27859702E-11  0.49098819E-11 -0.41290315E-27 -0.66048055E-27  0.13837733E-11 -0.17361669E-12 -0.33874758E-30 -0.81629492E-30 -0.42023321E-14 -0.92155519E-14  0.14576103E-30 -0.67276382E-30
  0.21907747E-11  0.40712053E-11 -0.29106118E-27 -0.58594222E-27  0.11910422E-11 -0.38897738E-13 -0.23221648E-30 -0.71691746E-30 -0.32349398E-14 -0.81122198E-14  0.18185057E-30 -0.53756471E-30
  0.17576012E-11  0.34086175E-11 -0.19708209E-27 -0.51583331E-27  0.10267674E-11  0.58724905E-13 -0.14943927E-30 -0.62645637E-30 -0.24851752E-14 -0.71536365E-14  0.19936736E-30 -0.42570543E-30
  0.14367418E-11  0.28808147E-11 -0.12512978E-27 -0.45106779E-27  0.88652658E-12  0.12813669E-12 -0.85776327E-31 -0.54478151E-30 -0.19018940E-14 -0.63205384E-14  0.20395659E-30 -0.33370073E-30
  0.11946854E-11  0.24570413E-11 -0.70583361E-28 -0.39208075E-27  0.76661133E-12  0.17620992E-12 -0.37458505E-31 -0.47157297E-30 -0.14465160E-14 -0.55960388E-14  0.19978283E-30 -0.25849136E-30
  0.10085769E-11  0.21141917E-11 -0.29764106E-28 -0.33897252E-27  0.66389721E-12  0.20823543E-12 -0.14149964E-32 -0.40638132E-30 -0.10897689E-14 -0.49653781E-14  0.18990514E-30 -0.19741105E-30
  0.86265925E-12  0.18347529E-11  0.26600381E-30 -0.29161536E-27  0.57574703E-12  0.22826878E-12  0.24859040E-31 -0.34867469E-30 -0.80933953E-15 -0.44156984E-14  0.17655371E-30 -0.14815150E-30
  0.74595937E-12  0.16053358E-11  0.21856685E-28 -0.24973217E-27  0.49993480E-12  0.23940576E-12  0.43406333E-31 -0.29787499E-30 -0.58815595E-15 -0.39358357E-14  0.16133599E-30 -0.10872678E-30
  0.65076488E-12  0.14156196E-11  0.36886978E-28 -0.21295411E-27  0.43458313E-12  0.24400014E-12  0.55890383E-31 -0.25338549E-30 -0.41311698E-15 -0.35161279E-14  0.14539192E-30 -0.77438625E-31
  0.57160994E-12  0.12575876E-11  0.46857514E-28 -0.18086245E-27  0.37811047E-12  0.24383453E-12  0.63662511E-31 -0.21461126E-30 -0.27414359E-15 -0.31482373E-14  0.12951137E-30 -0.52843073E-31
  0.50459175E-12  0.11249694E-11  0.52963798E-28 -0.15301832E-27  0.32918600E-12  0.24025371E-12  0.67816656E-31 -0.18097405E-30 -0.16346509E-15 -0.28249886E-14  0.11422334E-30 -0.33719322E-31
  0.44690467E-12  0.10128305E-11  0.56154960E-28 -0.12898361E-27  0.28669085E-12  0.23426818E-12  0.69234516E-31 -0.15192263E-30 -0.75078702E-16 -0.25402214E-14  0.99864061E-31 -0.19040922E-31
  0.39651915E-12  0.91726635E-12  0.57181173E-28 -0.10833500E-27  0.24968477E-12  0.22663407E-12  0.68622923E-31 -0.12693960E-30 -0.43383848E-17 -0.22886571E-14  0.86628722E-31 -0.79495679E-32
  0.35195815E-12  0.83517412E-12  0.56632108E-28 -0.90673138E-28  0.21737767E-12  0.21791459E-12  0.66544897E-31 -0.10554548E-30  0.52359281E-16 -0.20657799E-14  0.74610888E-31  0.26849828E-33
  0.31213986E-12  0.76407833E-12  0.54968191E-28 -0.75627976E-28  0.18910518E-12  0.20852713E-12  0.63445498E-31 -0.87300668E-31  0.97815665E-16 -0.18677318E-14  0.63832350E-31  0.62035193E-32
  0.27626629E-12  0.70199816E-12  0.52546064E-28 -0.62861542E-28  0.16430815E-12  0.19877917E-12  0.59673354E-31 -0.71805831E-31  0.13421474E-15 -0.16912189E-14  0.54265630E-31  0.10340806E-31
  0.24374355E-12  0.64734463E-12  0.49639314E-28 -0.52068757E-28  0.14251515E-12  0.18889559E-12  0.55498580E-31 -0.58701129E-31  0.16326497E-15 -0.15334308E-14  0.45850818E-31  0.13077028E-31
  0.21412475E-12  0.59884061E-12  0.46455345E-28 -0.42976927E-28  0.12332786E-12  0.17903937E-12  0.51127674E-31 -0.47664633E-31  0.18630850E-15 -0.13919692E-14  0.38508038E-31  0.14734381E-31
  0.18706876E-12  0.55545793E-12  0.43149088E-28 -0.35344356E-28  0.10640885E-12  0.16932726E-12  0.46715869E-31 -0.38410183E-31  0.20440506E-15 -0.12647870E-14  0.32146568E-31  0.15572843E-31
  0.16231038E-12  0.51636770E-12  0.39834116E-28 -0.28958388E-28  0.91471390E-13  0.15984154E-12  0.42377350E-31 -0.30684905E-31  0.21839657E-15 -0.11501349E-14  0.26671378E-31  0.15800690E-31
  0.13963893E-12  0.48090084E-12  0.36591630E-28 -0.23633130E-28  0.78270963E-13  0.15063890E-12  0.38193675E-31 -0.24266543E-31  0.22895674E-15 -0.10465169E-14  0.21987722E-31  0.15583477E-31
  0.11888263E-12  0.44851654E-12  0.33477691E-28 -0.19207026E-28  0.66598254E-13  0.14175707E-12  0.34220692E-31 -0.18960727E-31  0.23662922E-15 -0.95265091E-15  0.18004242E-31  0.15051658E-31
  0.99897536E-13  0.41877701E-12  0.30529034E-28 -0.15540411E-28  0.56273345E-13  0.13321980E-12  0.30494189E-31 -0.14598271E-31  0.24185683E-15 -0.86743589E-15  0.14634975E-31  0.14307020E-31
  0.82559527E-13  0.39132720E-12  0.27767698E-28 -0.12513124E-28  0.47140929E-13  0.12504056E-12  0.27034493E-31 -0.11032563E-31  0.24500396E-15 -0.78992407E-15  0.11800526E-31  0.13428078E-31
  0.66758711E-13  0.36587847E-12  0.25204711E-28 -0.10022248E-28  0.39066347E-13  0.11722530E-12  0.23850189E-31 -0.81370875E-32  0.24637375E-15 -0.71929703E-15  0.94286582E-32  0.12474581E-31
  0.52395471E-13  0.34219542E-12  0.22842994E-28 -0.79799965E-29  0.31932329E-13  0.10977446E-12  0.20941105E-31 -0.58031114E-32  0.24622119E-15 -0.65484572E-15  0.74544448E-32  0.11491250E-31
  0.39377753E-13  0.32008534E-12  0.20679637E-28 -0.63117800E-29  0.25636303E-13  0.10268458E-12  0.18300701E-31 -0.39375509E-32  0.24476317E-15 -0.59595363E-15  0.58201347E-32  0.10510869E-31
  0.27619241E-13  0.29938963E-12  0.18707672E-28 -0.49544548E-29  0.20088167E-13  0.95949320E-13  0.15917956E-31 -0.24610225E-32  0.24218608E-15 -0.54208250E-15  0.44748154E-32  0.95568105E-32
  0.17038146E-13  0.27997700E-12  0.16917429E-28 -0.38547509E-29  0.15208454E-13  0.89560355E-13  0.13778847E-31 -0.13060803E-32  0.23865174E-15 -0.49276047E-15  0.33739538E-32  0.86451115E-32
  0.75564511E-14  0.26173790E-12  0.15297581E-28 -0.29678762E-29  0.10926801E-13  0.83507966E-13  0.11867497E-31 -0.41563355E-33  0.23430179E-15 -0.44757204E-15  0.24788694E-32  0.77861427E-32
 -0.90055462E-15  0.24458012E-12  0.13835914E-28 -0.22562866E-29  0.71806902E-14  0.77781494E-13  0.10167059E-31  0.25846361E-33  0.22926118E-15 -0.40614966E-15  0.17561770E-32  0.69859613E-32
 -0.84045282E-14  0.22842526E-12  0.12519902E-28 -0.16886086E-29  0.39143838E-14  0.72369672E-13  0.86603684E-32  0.75666181E-33  0.22364077E-15 -0.36816676E-15  0.11772289E-32  0.62473902E-32
 -0.15024199E-13  0.21320591E-12  0.11337126E-28 -0.12387018E-29  0.10780462E-14  0.67260872E-13  0.73304402E-32  0.11128165E-32  0.21753940E-15 -0.33333183E-15  0.71757412E-33  0.55708754E-32
 -0.20825412E-13  0.19886337E-12  0.10275554E-28 -0.88484863E-30 -0.13730003E-14  0.62443285E-13  0.61608130E-32  0.13551517E-32  0.21104547E-15 -0.30138350E-15  0.35644878E-33  0.49551604E-32
 -0.25871130E-13  0.18534590E-12  0.93237424E-29 -0.60905603E-30 -0.34789023E-14  0.57905056E-13  0.51357922E-32  0.15071008E-32  0.20423823E-15 -0.27208642E-15  0.76303633E-34  0.43978119E-32
 -0.30221412E-13  0.17260732E-12  0.84709522E-29 -0.39645752E-30 -0.52758058E-14  0.53634380E-13  0.42406070E-32  0.15880355E-32  0.19718876E-15 -0.24522780E-15 -0.13762626E-33  0.38956257E-32
 -0.33933397E-13  0.16060586E-12  0.77072154E-29 -0.23480320E-30 -0.67963097E-14  0.49619581E-13  0.34615013E-32  0.16138960E-32  0.18996082E-15 -0.22061452E-15 -0.29770902E-33  0.34449349E-32
 -0.37061280E-13  0.14930332E-12  0.70233617E-29 -0.11402650E-30 -0.80698539E-14  0.45849162E-13  0.27857762E-32  0.15977340E-32  0.18261152E-15 -0.19807065E-15 -0.41426096E-33  0.30418411E-32
 -0.39656318E-13  0.13866440E-12  0.64110144E-29 -0.25877516E-31 -0.91230539E-14  0.42311849E-13  0.22017956E-32  0.15501777E-32  0.17519193E-15 -0.17743546E-15 -0.49585104E-33  0.26823845E-32
 -0.41766845E-13  0.12865617E-12  0.58625674E-29  0.36386097E-31 -0.99799911E-14  0.38996620E-13  0.16989647E-32  0.14798289E-32  0.16774755E-15 -0.15856159E-15 -0.54956732E-33  0.23626657E-32
 -0.43438298E-13  0.11924765E-12  0.53711476E-29  0.78258898E-31 -0.10662466E-13  0.35892731E-13  0.12676902E-32  0.13936020E-32  0.16031877E-15 -0.14131366E-15 -0.58124848E-33  0.20789302E-32
 -0.44713270E-13  0.11040951E-12  0.49305700E-29  0.10420521E-30 -0.11190220E-13  0.32989728E-13  0.89932758E-33  0.12970107E-32  0.15294131E-15 -0.12556696E-15 -0.59568373E-33  0.18276233E-32
 -0.45631573E-13  0.10211384E-12  0.45352866E-29  0.11784080E-30 -0.11581131E-13  0.30277466E-13  0.58612061E-33  0.11944108E-32  0.14564651E-15 -0.11120641E-15 -0.59678432E-33  0.16054243E-32
 -0.46230314E-13  0.94333987E-13  0.41803355E-29  0.12208410E-30 -0.11851387E-13  0.27746114E-13  0.32113679E-33  0.10892049E-32  0.13846174E-15 -0.98125602E-16 -0.58772997E-33  0.14092639E-32
 -0.46543987E-13  0.87044377E-13  0.38612880E-29  0.11928180E-30 -0.12015640E-13  0.25386165E-13  0.98201261E-34  0.98401466E-33  0.13141069E-15 -0.86226049E-16 -0.57109320E-33  0.12363286E-32
 -0.46604566E-13  0.80220459E-13  0.35741989E-29  0.11131282E-30 -0.12087146E-13  0.23188435E-13 -0.88168704E-34  0.88082415E-33  0.12451363E-15 -0.75416450E-16 -0.54894440E-33  0.10840584E-32
 -0.46441612E-13  0.73838611E-13  0.33155586E-29  0.99674260E-31 -0.12077887E-13  0.21144070E-13 -0.24282726E-33  0.78110068E-33  0.11778776E-15 -0.65612107E-16 -0.52294025E-33  0.95013706E-33
 -0.46082383E-13  0.67876088E-13  0.30822481E-29  0.85552147E-31 -0.11998685E-13  0.19244545E-13 -0.37006057E-33  0.68589456E-33  0.11124741E-15 -0.56734389E-16 -0.49439781E-33  0.83247886E-33
 -0.45551947E-13  0.62310988E-13  0.28714979E-29  0.69879697E-31 -0.11859300E-13  0.17481665E-13 -0.47364382E-33  0.59592210E-33  0.10490431E-15 -0.48710257E-16 -0.46435631E-33  0.72921359E-33
 -0.44873298E-13  0.57122218E-13  0.26808501E-29  0.53385098E-31 -0.11668528E-13  0.15847560E-13 -0.55689428E-33  0.51163422E-33  0.98767824E-16 -0.41471846E-16 -0.43362854E-33  0.63866964E-33
 -0.44067469E-13  0.52289469E-13  0.25081238E-29  0.36630653E-31 -0.11434279E-13  0.14334684E-13 -0.62272026E-33  0.43327291E-33  0.92845181E-16 -0.34956090E-16 -0.40284342E-33  0.55935708E-33
 -0.43153649E-13  0.47793207E-13  0.23513844E-29  0.20044805E-31 -0.11163656E-13  0.12935812E-13 -0.67366597E-33  0.36091751E-33  0.87141659E-16 -0.29104377E-16 -0.37248110E-33  0.48995095E-33
 -0.42149296E-13  0.43614650E-13  0.22089155E-29  0.39482778E-32 -0.10863025E-13  0.11644033E-13 -0.71195231E-33  0.29452264E-33  0.81660790E-16 -0.23862243E-16 -0.34290186E-33  0.42927513E-33
 -0.41070245E-13  0.39735761E-13  0.20791940E-29 -0.11424608E-31 -0.10538079E-13  0.10452748E-13 -0.73951383E-33  0.23394889E-33  0.76404546E-16 -0.19179089E-16 -0.31436978E-33  0.37628717E-33
 -0.39930819E-13  0.36139234E-13  0.19608682E-29 -0.25908576E-31 -0.10193896E-13  0.93556595E-14 -0.75803205E-33  0.17898780E-33  0.71373502E-16 -0.15007926E-16 -0.28707212E-33  0.33006418E-33
 -0.38743930E-13  0.32808484E-13  0.18527378E-29 -0.39393272E-31 -0.98349941E-14  0.83467691E-14 -0.76896533E-33  0.12938188E-33  0.66566998E-16 -0.11305130E-16 -0.26113506E-33  0.28978984E-33
 -0.37521179E-13  0.29727633E-13  0.17537367E-29 -0.51811795E-31 -0.94653788E-14  0.74203684E-14 -0.77357561E-33  0.84840614E-34  0.61983285E-16 -0.80302281E-17 -0.23663655E-33  0.25474259E-33
 -0.36272952E-13  0.26881503E-13  0.16629175E-29 -0.63131386E-31 -0.90885911E-14  0.65710316E-14 -0.77295229E-33  0.45053226E-34  0.57619662E-16 -0.51456909E-17 -0.21361667E-33  0.22428497E-33
 -0.35008513E-13  0.24255596E-13  0.15794378E-29 -0.73345873E-31 -0.87077477E-14  0.57936082E-14 -0.76803343E-33  0.96986378E-35  0.53472600E-16 -0.26167417E-17 -0.19208600E-33  0.19785400E-33
 -0.33736087E-13  0.21836086E-13  0.15025484E-29 -0.82469561E-31 -0.83255805E-14  0.50832142E-14 -0.75962458E-33 -0.21546732E-34  0.49537859E-16 -0.41117987E-18 -0.17203243E-33  0.17495262E-33
 -0.32462943E-13  0.19609800E-13  0.14315825E-29 -0.90532281E-31 -0.79444711E-14  0.44352243E-14 -0.74841548E-33 -0.49003009E-34  0.45810591E-16  0.15007866E-17 -0.15342655E-33  0.15514205E-33
 -0.31195473E-13  0.17564206E-13  0.13659465E-29 -0.97575392E-31 -0.75664845E-14  0.38452631E-14 -0.73499478E-33 -0.72982367E-34  0.42285444E-16  0.31466965E-17 -0.13622600E-33  0.13803504E-33
 -0.29939263E-13  0.15687394E-13  0.13051116E-29 -0.10364856E-30 -0.71933984E-14  0.33091962E-14 -0.71986307E-33 -0.93785724E-34  0.38956642E-16  0.45519824E-17 -0.12037902E-33  0.12328989E-33
 -0.28699163E-13  0.13968059E-13  0.12486067E-29 -0.10880715E-30 -0.68267308E-14  0.28231220E-14 -0.70344437E-33 -0.11170040E-33  0.35818073E-16  0.57401077E-17 -0.10582712E-33  0.11060511E-33
 -0.27479349E-13  0.12395487E-13  0.11960116E-29 -0.11311018E-30 -0.64677659E-14  0.23833621E-14 -0.68609620E-33 -0.12699852E-33  0.32863355E-16  0.67326969E-17 -0.92507395E-34  0.99714814E-34
 -0.26283386E-13  0.10959529E-13  0.11469519E-29 -0.11661863E-30 -0.61175771E-14  0.19864532E-14 -0.66811846E-33 -0.13993606E-33  0.30085908E-16  0.75496567E-17 -0.80354190E-34  0.90384547E-34
 -0.25114280E-13  0.96505891E-14  0.11010934E-29 -0.11939410E-30 -0.57770481E-14  0.16291380E-14 -0.64976123E-33 -0.15075234E-33  0.27479007E-16  0.82092914E-17 -0.69300523E-34  0.82407710E-34
 -0.23974535E-13  0.84596035E-14  0.10581380E-29 -0.12149785E-30 -0.54468934E-14  0.13083562E-14 -0.63123161E-33 -0.15966992E-33  0.25035840E-16  0.87284108E-17 -0.59279154E-34  0.75602339E-34
 -0.22866198E-13  0.73780197E-14  0.10178196E-29 -0.12298990E-30 -0.51276755E-14  0.10212366E-14 -0.61269968E-33 -0.16689473E-33  0.22749549E-16  0.91224317E-17 -0.50223426E-34  0.69808297E-34
 -0.21790904E-13  0.63977781E-14  0.97990044E-30 -0.12392846E-30 -0.48198218E-14  0.76508790E-15 -0.59430375E-33 -0.17261651E-33  0.20613278E-16  0.94054742E-17 -0.42067923E-34  0.64884786E-34
 -0.20749919E-13  0.55112925E-14  0.94416841E-30 -0.12436945E-30 -0.45236396E-14  0.53739059E-15 -0.57615496E-33 -0.17700933E-33  0.18620205E-16  0.95904517E-17 -0.34748962E-34  0.60708160E-34
 -0.19744181E-13  0.47114307E-14  0.91043384E-30 -0.12436613E-30 -0.42393301E-14  0.33578889E-15 -0.55834122E-33 -0.18023224E-33  0.16763576E-16  0.96891559E-17 -0.28204973E-34  0.57169976E-34
 -0.18774330E-13  0.39914949E-14  0.87852723E-30 -0.12396889E-30 -0.39670005E-14  0.15808259E-15 -0.54093074E-33 -0.18243005E-33  0.15036731E-16  0.97123368E-17 -0.22376770E-34  0.54175284E-34
 -0.17840744E-13  0.33452026E-14  0.84829703E-30 -0.12322510E-30 -0.37066762E-14  0.22192687E-17 -0.52397503E-33 -0.18373411E-33  0.13433130E-16  0.96697778E-17 -0.17207748E-34  0.51641101E-34
 -0.16943570E-13  0.27666681E-14  0.81960763E-30 -0.12217898E-30 -0.34583107E-14 -0.13371327E-15 -0.50751154E-33 -0.18426316E-33  0.11946372E-16  0.95703664E-17 -0.12644014E-34  0.49495063E-34
 -0.16082750E-13  0.22503837E-14  0.79233765E-30 -0.12087162E-30 -0.32217952E-14 -0.25149443E-15 -0.49156595E-33 -0.18412412E-33  0.10570214E-16  0.94221602E-17 -0.86344611E-35  0.47674218E-34
 -0.15258047E-13  0.17912013E-14  0.76637837E-30 -0.11934096E-30 -0.29969675E-14 -0.35277792E-15 -0.47615413E-33 -0.18341296E-33  0.92985821E-17  0.92324498E-17 -0.51308095E-35  0.46123959E-34
 -0.14469068E-13  0.13843152E-14  0.74163229E-30 -0.11762185E-30 -0.27836194E-14 -0.43909868E-15 -0.46128386E-33 -0.18221550E-33  0.81255862E-17  0.90078166E-17 -0.20876058E-35  0.44797072E-34
 -0.13715285E-13  0.10252442E-14  0.71801193E-30 -0.11574615E-30 -0.25815041E-14 -0.51187960E-15 -0.44695628E-33 -0.18060823E-33  0.70455273E-17  0.87541879E-17  0.53780154E-36  0.43652883E-34
 -0.12996056E-13  0.70981515E-15  0.69543870E-30 -0.11374282E-30 -0.23903425E-14 -0.57243785E-15 -0.43316717E-33 -0.17865903E-33  0.60529058E-17  0.84768879E-17  0.27853098E-35  0.42656498E-34
 -0.12310640E-13  0.43414632E-15  0.67384190E-30 -0.11163803E-30 -0.22098288E-14 -0.62199114E-15 -0.41990805E-33 -0.17642794E-33  0.51424257E-17  0.81806859E-17  0.46921265E-35  0.41778125E-34
 -0.11658213E-13  0.19463171E-15  0.65315783E-30 -0.10945531E-30 -0.20396356E-14 -0.66166362E-15 -0.40716704E-33 -0.17396782E-33  0.43089986E-17  0.78698409E-17  0.62928485E-35  0.40992465E-34
 -0.11037887E-13 -0.12074309E-16  0.63332902E-30 -0.10721570E-30 -0.18794188E-14 -0.69249157E-15 -0.39492971E-33 -0.17132505E-33  0.35477457E-17  0.75481434E-17  0.76195513E-35  0.40278172E-34
  0.60116660E-15 -0.84135398E-15 -0.15202830E-30  0.32472853E-30 -0.11476187E-15  0.29460577E-16  0.53912243E-34 -0.86508490E-34 -0.20453566E-18 -0.26331837E-18  0.73505151E-35  0.23974024E-35
  0.63599101E-15 -0.90963655E-15 -0.15938384E-30  0.34051335E-30 -0.12495310E-15  0.39387231E-16  0.49878385E-34 -0.87206179E-34 -0.25063632E-18 -0.25515143E-18  0.76857065E-35  0.24626619E-35
  0.67115956E-15 -0.98564810E-15 -0.16692813E-30  0.35765782E-30 -0.13562048E-15  0.50959549E-16  0.45268557E-34 -0.87395651E-34 -0.30131349E-18 -0.24271566E-18  0.80373973E-35  0.25219149E-35
  0.70628585E-15 -0.10701725E-14 -0.17461485E-30  0.37629048E-30 -0.14671674E-15  0.64379013E-16  0.40049277E-34 -0.86974706E-34 -0.35680663E-18 -0.22526336E-18  0.84051569E-35  0.25736214E-35
  0.74089826E-15 -0.11640524E-14 -0.18238585E-30  0.39654945E-30 -0.15817779E-15  0.79865687E-16  0.34189659E-34 -0.85827609E-34 -0.41733732E-18 -0.20195175E-18  0.87881597E-35  0.26161711E-35
  0.77442754E-15 -0.12681903E-14 -0.19016934E-30  0.41858256E-30 -0.16991979E-15  0.97659222E-16  0.27662515E-34 -0.83823798E-34 -0.48310181E-18 -0.17183379E-18  0.91851070E-35  0.26479330E-35
  0.80619293E-15 -0.13835492E-14 -0.19787796E-30  0.44254756E-30 -0.18183592E-15  0.11801980E-15  0.20445646E-34 -0.80816522E-34 -0.55426226E-18 -0.13384825E-18  0.95941440E-35  0.26673235E-35
  0.83538678E-15 -0.15111526E-14 -0.20540663E-30  0.46861203E-30 -0.19379272E-15  0.14122901E-15  0.12523355E-34 -0.76641419E-34 -0.63093652E-18 -0.86809325E-19  0.10012771E-34  0.26728973E-35
  0.86105756E-15 -0.16520837E-14 -0.21263018E-30  0.49695326E-30 -0.20562598E-15  0.16759055E-15  0.38881864E-35 -0.71115036E-34 -0.71318616E-18 -0.29395643E-19  0.10437753E-34  0.26634633E-35
  0.88209098E-15 -0.18074833E-14 -0.21940082E-30  0.52775796E-30 -0.21713619E-15  0.19743087E-15 -0.54570632E-35 -0.64033316E-34 -0.80100252E-18  0.39861240E-19  0.10865029E-34  0.26382323E-35
  0.89718929E-15 -0.19785463E-14 -0.22554532E-30  0.56122176E-30 -0.22808338E-15  0.23109953E-15 -0.15497049E-34 -0.55170036E-34 -0.89429072E-18  0.12258882E-18  0.11289627E-34  0.25969998E-35
  0.90484843E-15 -0.21665170E-14 -0.23086198E-30  0.59754846E-30 -0.23818146E-15  0.26896931E-15 -0.26201262E-34 -0.44275241E-34 -0.99285112E-18  0.22058600E-18  0.11705587E-34  0.25403690E-35
  0.90333307E-15 -0.23726824E-14 -0.23511740E-30  0.63694909E-30 -0.24709186E-15  0.31143609E-15 -0.37521071E-34 -0.31073661E-34 -0.10963581E-17  0.33583583E-18  0.12105898E-34  0.24700204E-35
  0.89064927E-15 -0.25983632E-14 -0.23804297E-30  0.67964065E-30 -0.25441660E-15  0.35891826E-15 -0.49386387E-34 -0.15263152E-34 -0.12043358E-17  0.47051830E-18  0.12482469E-34  0.23890316E-35
  0.86451465E-15 -0.28449025E-14 -0.23933113E-30  0.72584453E-30 -0.25969052E-15  0.41185570E-15 -0.61701917E-34  0.34868344E-35 -0.13161305E-17  0.62702336E-18  0.12826118E-34  0.23022536E-35
  0.82232605E-15 -0.31136515E-14 -0.23863135E-30  0.77578455E-30 -0.26237279E-15  0.47070822E-15 -0.74342988E-34  0.25536714E-34 -0.14308793E-17  0.80796364E-18  0.13126627E-34  0.22167482E-35
  0.76112437E-15 -0.34059515E-14 -0.23554599E-30  0.82968463E-30 -0.26183755E-15  0.53595332E-15 -0.87150894E-34  0.51278159E-34 -0.15474744E-17  0.10161870E-17  0.13372840E-34  0.21422890E-35
  0.67755668E-15 -0.37231124E-14 -0.22962574E-30  0.88776603E-30 -0.25736372E-15  0.60808322E-15 -0.99927745E-34  0.81135369E-34 -0.16645229E-17  0.12547880E-17  0.13552860E-34  0.20919309E-35
  0.56783534E-15 -0.40663865E-14 -0.22036499E-30  0.95024402E-30 -0.24812377E-15  0.68760088E-15 -0.11243078E-33  0.11556620E-33 -0.17803019E-17  0.15271195E-17  0.13654330E-34  0.20826463E-35
  0.42769423E-15 -0.44369368E-14 -0.20719688E-30  0.10173242E-29 -0.23317158E-15  0.77501511E-15 -0.12436611E-33  0.15506312E-33 -0.18927075E-17  0.18368014E-17  0.13664848E-34  0.21360289E-35
  0.25234184E-15 -0.48358002E-14 -0.18948819E-30  0.10891980E-29 -0.21142919E-15  0.87083425E-15 -0.13538186E-33  0.20015399E-33 -0.19991975E-17  0.21877288E-17  0.13572538E-34  0.22790587E-35
  0.36411415E-16 -0.52638428E-14 -0.16653398E-30  0.11660379E-29 -0.18167244E-15  0.97555864E-15 -0.14506068E-33  0.25140256E-33 -0.20967285E-17  0.25840777E-17  0.13366800E-34  0.25449202E-35
 -0.22609191E-15 -0.57217087E-14 -0.13755200E-30  0.12479918E-29 -0.14251558E-15  0.10896712E-14 -0.15291156E-33  0.30940876E-33 -0.21816844E-17  0.30303072E-17  0.13039287E-34  0.29738587E-35
 -0.54184694E-15 -0.62097595E-14 -0.10167700E-30  0.13351768E-29 -0.92394549E-16  0.12136265E-14 -0.15836096E-33  0.37480870E-33 -0.22497976E-17  0.35311588E-17  0.12585144E-34  0.36140552E-35
 -0.91827497E-15 -0.67280042E-14 -0.57954672E-31  0.14276721E-29 -0.29549155E-16  0.13478369E-14 -0.16074319E-33  0.44827432E-33 -0.22960615E-17  0.40916509E-17  0.12004561E-34  0.45224884E-35
 -0.13636009E-14 -0.72760183E-14 -0.53355187E-32  0.15255117E-29  0.47995980E-16  0.14926575E-14 -0.15928993E-33  0.53051282E-33 -0.23146336E-17  0.47170679E-17  0.11304670E-34  0.57657468E-35
 -0.18869169E-14 -0.78528506E-14  0.57331655E-31  0.16286759E-29  0.14245172E-15  0.16483667E-14 -0.15311895E-33  0.62226572E-33 -0.22987285E-17  0.54129433E-17  0.10501873E-34  0.74207363E-35
 -0.24982470E-14 -0.84569161E-14  0.13130650E-30  0.17370821E-29  0.25628590E-15  0.18151451E-14 -0.14122186E-33  0.72430759E-33 -0.22404997E-17  0.61850347E-17  0.96246159E-35  0.95752189E-35
 -0.32086149E-14 -0.90858737E-14  0.21796427E-30  0.18505751E-29  0.39224601E-15  0.19930498E-14 -0.12245086E-33  0.83744465E-33 -0.21309101E-17  0.70392902E-17  0.87166981E-35  0.12328095E-34
 -0.40301102E-14 -0.97364870E-14  0.31880350E-30  0.19689165E-29  0.55338295E-15  0.21819849E-14 -0.95504330E-34  0.96251298E-33 -0.19595900E-17  0.79818039E-17  0.78411589E-35  0.15789327E-34
 -0.49759569E-14 -0.10404466E-13  0.43545429E-30  0.20917735E-29  0.74307590E-15  0.23816680E-14 -0.58911146E-34  0.11003768E-32 -0.17146808E-17  0.90187591E-17  0.70847970E-35  0.20079366E-34
 -0.60605795E-14 -0.11084287E-13  0.56968747E-30  0.22187067E-29  0.96505804E-15  0.25915906E-14 -0.11013544E-34  0.12519263E-32 -0.13826660E-17  0.10156358E-16  0.65633744E-35  0.25327927E-34
 -0.72996677E-14 -0.11768992E-13  0.72342493E-30  0.23491574E-29  0.12234432E-14  0.28109740E-14  0.50051761E-34  0.14180764E-32 -0.94818507E-18  0.11400733E-16  0.64275410E-35  0.31671921E-34
 -0.87102378E-14 -0.12449958E-13  0.89875143E-30  0.24824340E-29  0.15227527E-14  0.30387175E-14  0.12637448E-33  0.15997647E-32 -0.39383295E-18  0.12757842E-16  0.68695023E-35  0.39252293E-34
 -0.10310690E-13 -0.13116642E-13  0.10979284E-29  0.26176974E-29  0.18679436E-14  0.32733412E-14  0.22029415E-33  0.17979507E-32  0.30005882E-18  0.14233340E-16  0.81304293E-35  0.48209511E-34
 -0.12120857E-13 -0.13756293E-13  0.13234105E-29  0.27539457E-29  0.22644357E-14  0.35129192E-14  0.33442643E-33  0.20136154E-32  0.11556584E-17  0.15832424E-16  0.10508576E-34  0.58677352E-34
 -0.14162048E-13 -0.14353628E-13  0.15778650E-29  0.28899976E-29  0.27181394E-14  0.37550053E-14  0.47169328E-33  0.22477621E-32  0.21978893E-17  0.17559655E-16  0.14368020E-34  0.70774621E-34
 -0.16457080E-13 -0.14890477E-13  0.18641967E-29  0.30244742E-29  0.32354830E-14  0.39965485E-14  0.63535752E-33  0.25014182E-32  0.34547059E-17  0.19418746E-16  0.20147895E-34  0.84594338E-34
 -0.19030295E-13 -0.15345376E-13  0.21855766E-29  0.31557791E-29  0.38234387E-14  0.42337978E-14  0.82906324E-33  0.27756392E-32  0.49573911E-17  0.21412309E-16  0.28371872E-34  0.10018988E-33
