 Re{Ex} Im{Ex} Re{Ey} Im{Ey} Re{Ez} Im{Ez} Re{Hx} Im{Hx} Re{Hy} Im{Hy} Re{Hz} Im{Hz}
 -0.38743930E-13  0.32808484E-13  0.10302976E-28 -0.41360603E-29  0.98349941E-14 -0.83467691E-14  0.58452101E-32 -0.99633347E-33  0.66566998E-16 -0.11305130E-16  0.78340518E-33 -0.86936951E-33
 -0.39930819E-13  0.36139234E-13  0.10772720E-28 -0.45035055E-29  0.10193896E-13 -0.93556595E-14  0.64666369E-32 -0.13009774E-32  0.71373502E-16 -0.15007926E-16  0.86121635E-33 -0.99019253E-33
 -0.41070245E-13  0.39735761E-13  0.11267236E-28 -0.49005011E-29  0.10538079E-13 -0.10452748E-13  0.71383167E-32 -0.16469144E-32  0.76404546E-16 -0.19179089E-16  0.94310934E-33 -0.11288615E-32
 -0.42149296E-13  0.43614650E-13  0.11788546E-28 -0.53294094E-29  0.10863025E-13 -0.11644033E-13  0.78647056E-32 -0.20387140E-32  0.81660790E-16 -0.23862243E-16  0.10287056E-32 -0.12878254E-32
 -0.43153649E-13  0.47793207E-13  0.12338951E-28 -0.57928454E-29  0.11163656E-13 -0.12935812E-13  0.86507774E-32 -0.24815057E-32  0.87141659E-16 -0.29104377E-16  0.11174433E-32 -0.14698528E-32
 -0.44067469E-13  0.52289469E-13  0.12921080E-28 -0.62937212E-29  0.11434279E-13 -0.14334684E-13  0.95020946E-32 -0.29810677E-32  0.92845181E-16 -0.34956090E-16  0.12085303E-32 -0.16780712E-32
 -0.44873298E-13  0.57122218E-13  0.13537944E-28 -0.68352988E-29  0.11668528E-13 -0.15847560E-13  0.10424887E-31 -0.35439337E-32  0.98767824E-16 -0.41471846E-16  0.13008856E-32 -0.19160089E-32
 -0.45551947E-13  0.62310988E-13  0.14192998E-28 -0.74212562E-29  0.11859300E-13 -0.17481665E-13  0.11426141E-31 -0.41775197E-32  0.10490431E-15 -0.48710257E-16  0.13930689E-32 -0.21876408E-32
 -0.46082383E-13  0.67876088E-13  0.14890209E-28 -0.80557670E-29  0.11998685E-13 -0.19244545E-13  0.12513696E-31 -0.48902751E-32  0.11124741E-15 -0.56734389E-16  0.14831934E-32 -0.24974366E-32
 -0.46441612E-13  0.73838611E-13  0.15634133E-28 -0.87435990E-29  0.12077887E-13 -0.21144070E-13  0.13696359E-31 -0.56918637E-32  0.11778776E-15 -0.65612107E-16  0.15688207E-32 -0.28504112E-32
 -0.46604566E-13  0.80220459E-13  0.16430010E-28 -0.94902344E-29  0.12087146E-13 -0.23188435E-13  0.14984016E-31 -0.65933790E-32  0.12451363E-15 -0.75416450E-16  0.16468332E-32 -0.32521753E-32
 -0.46543987E-13  0.87044377E-13  0.17283859E-28 -0.10302016E-28  0.12015640E-13 -0.25386165E-13  0.16387772E-31 -0.76076015E-32  0.13141069E-15 -0.86226049E-16  0.17132796E-32 -0.37089858E-32
 -0.46230314E-13  0.94333987E-13  0.18202587E-28 -0.11186329E-28  0.11851387E-13 -0.27746114E-13  0.17920084E-31 -0.87493057E-32  0.13846174E-15 -0.98125602E-16  0.17631899E-32 -0.42277916E-32
 -0.45631573E-13  0.10211384E-12  0.19194116E-28 -0.12151817E-28  0.11581131E-13 -0.30277466E-13  0.19594915E-31 -0.10035625E-31  0.14564651E-15 -0.11120641E-15  0.17903530E-32 -0.48162730E-32
 -0.44713270E-13  0.11040951E-12  0.20267506E-28 -0.13208649E-28  0.11190220E-13 -0.32989728E-13  0.21427891E-31 -0.11486485E-31  0.15294131E-15 -0.12556696E-15  0.17870512E-32 -0.54828698E-32
 -0.43438298E-13  0.11924765E-12  0.21433100E-28 -0.14368848E-28  0.10662466E-13 -0.35892731E-13  0.23436458E-31 -0.13125126E-31  0.16031877E-15 -0.14131366E-15  0.17437454E-32 -0.62367905E-32
 -0.41766845E-13  0.12865617E-12  0.22702665E-28 -0.15646679E-28  0.99799911E-14 -0.38996620E-13  0.25640044E-31 -0.14978707E-31  0.16774755E-15 -0.15856159E-15  0.16487020E-32 -0.70879972E-32
 -0.39656318E-13  0.13866440E-12  0.24089542E-28 -0.17059124E-28  0.91230539E-14 -0.42311849E-13  0.28060210E-31 -0.17079043E-31  0.17519193E-15 -0.17743546E-15  0.14875531E-32 -0.80471534E-32
 -0.37061280E-13  0.14930332E-12  0.25608783E-28 -0.18626463E-28  0.80698539E-14 -0.45849162E-13  0.30720790E-31 -0.19463457E-31  0.18261152E-15 -0.19807065E-15  0.12427829E-32 -0.91255232E-32
 -0.33933397E-13  0.16060586E-12  0.27277289E-28 -0.20372954E-28  0.67963097E-14 -0.49619581E-13  0.33647995E-31 -0.22175798E-31  0.18996082E-15 -0.22061452E-15  0.89312707E-33 -0.10334805E-31
 -0.30221412E-13  0.17260732E-12  0.29113912E-28 -0.22327673E-28  0.52758058E-14 -0.53634380E-13  0.36870479E-31 -0.25267638E-31  0.19718876E-15 -0.24522780E-15  0.41287879E-33 -0.11686877E-31
 -0.25871130E-13  0.18534590E-12  0.31139527E-28 -0.24525495E-28  0.34789023E-14 -0.57905056E-13  0.40419346E-31 -0.28799673E-31  0.20423823E-15 -0.27208642E-15 -0.22891090E-33 -0.13193436E-31
 -0.20825412E-13  0.19886337E-12  0.33377039E-28 -0.27008284E-28  0.13730003E-14 -0.62443285E-13  0.44328055E-31 -0.32843379E-31  0.21104547E-15 -0.30138350E-15 -0.10693463E-32 -0.14865481E-31
 -0.15024199E-13  0.21320591E-12  0.35851310E-28 -0.29826298E-28 -0.10780462E-14 -0.67260872E-13  0.48632213E-31 -0.37482927E-31  0.21753940E-15 -0.33333183E-15 -0.21527224E-32 -0.16712626E-31
 -0.84045282E-14  0.22842526E-12  0.38588965E-28 -0.33039852E-28 -0.39143838E-14 -0.72369672E-13  0.53369200E-31 -0.42817439E-31  0.22364077E-15 -0.36816676E-15 -0.35316866E-32 -0.18742171E-31
 -0.90055462E-15  0.24458012E-12  0.41618027E-28 -0.36721286E-28 -0.71806902E-14 -0.77781494E-13  0.58577573E-31 -0.48963597E-31  0.22926118E-15 -0.40614966E-15 -0.52685310E-32 -0.20957884E-31
  0.75564511E-14  0.26173790E-12  0.44967346E-28 -0.40957276E-28 -0.10926801E-13 -0.83507966E-13  0.64296186E-31 -0.56058667E-31  0.23430179E-15 -0.44757204E-15 -0.74366081E-32 -0.23358428E-31
  0.17038146E-13  0.27997700E-12  0.48665717E-28 -0.45851547E-28 -0.15208454E-13 -0.89560355E-13  0.70562949E-31 -0.64263994E-31  0.23865174E-15 -0.49276047E-15 -0.10121861E-31 -0.25935334E-31
  0.27619241E-13  0.29938963E-12  0.52740633E-28 -0.51528020E-28 -0.20088167E-13 -0.95949320E-13  0.77413110E-31 -0.73769027E-31  0.24218608E-15 -0.54208250E-15 -0.13424446E-31 -0.28670431E-31
  0.39377753E-13  0.32008534E-12  0.57216528E-28 -0.58134489E-28 -0.25636303E-13 -0.10268458E-12  0.84876947E-31 -0.84795923E-31  0.24476317E-15 -0.59595363E-15 -0.17460404E-31 -0.31532606E-31
  0.52395471E-13  0.34219542E-12  0.62112387E-28 -0.65846842E-28 -0.31932329E-13 -0.10977446E-12  0.92976714E-31 -0.97604806E-31  0.24622119E-15 -0.65484572E-15 -0.22363334E-31 -0.34473751E-31
  0.66758711E-13  0.36587847E-12  0.67438549E-28 -0.74873934E-28 -0.39066347E-13 -0.11722530E-12  0.10172265E-30 -0.11249974E-30  0.24637375E-15 -0.71929703E-15 -0.28285975E-31 -0.37423743E-31
  0.82559527E-13  0.39132720E-12  0.73192468E-28 -0.85463133E-28 -0.47140929E-13 -0.12504056E-12  0.11110781E-30 -0.12983549E-30  0.24500396E-15 -0.78992407E-15 -0.35401579E-31 -0.40284235E-31
  0.99897536E-13  0.41877701E-12  0.79353182E-28 -0.97906624E-28 -0.56273345E-13 -0.13321980E-12  0.12110149E-30 -0.15002507E-30  0.24185683E-15 -0.86743589E-15 -0.43904925E-31 -0.42921061E-31
  0.11888263E-12  0.44851654E-12  0.85874149E-28 -0.11254851E-27 -0.66598254E-13 -0.14175707E-12  0.13164080E-30 -0.17354827E-30  0.23662922E-15 -0.95265091E-15 -0.54012727E-31 -0.45154975E-31
  0.13963893E-12  0.48090084E-12  0.92674052E-28 -0.12979276E-27 -0.78270963E-13 -0.15063890E-12  0.14262014E-30 -0.20096099E-30  0.22895674E-15 -0.10465169E-14 -0.65963165E-31 -0.46750431E-31
  0.16231038E-12  0.51636770E-12  0.99625060E-28 -0.15011197E-27 -0.91471390E-13 -0.15984154E-12  0.15387792E-30 -0.23290562E-30  0.21839657E-15 -0.11501349E-14 -0.80014134E-31 -0.47402070E-31
  0.18706876E-12  0.55545793E-12  0.10653795E-27 -0.17405705E-27 -0.10640885E-12 -0.16932726E-12  0.16518001E-30 -0.27012228E-30  0.20440506E-15 -0.12647870E-14 -0.96439704E-31 -0.46718529E-31
  0.21412475E-12  0.59884061E-12  0.11314331E-27 -0.20226761E-27 -0.12332786E-12 -0.17903937E-12  0.17619923E-30 -0.31346096E-30  0.18630850E-15 -0.13919692E-14 -0.11552412E-30 -0.44203143E-31
  0.24374355E-12  0.64734463E-12  0.11906797E-27 -0.23548312E-27 -0.14251515E-12 -0.18889559E-12  0.18648993E-30 -0.36389450E-30  0.16326497E-15 -0.15334308E-14 -0.13755245E-30 -0.39231083E-31
  0.27626629E-12  0.70199816E-12  0.12380533E-27 -0.27455461E-27 -0.16430815E-12 -0.19877917E-12  0.19545663E-30 -0.42253207E-30  0.13421474E-15 -0.16912189E-14 -0.16279689E-30 -0.31022419E-31
  0.31213986E-12  0.76407833E-12  0.12667846E-27 -0.32045654E-27 -0.18910518E-12 -0.20852713E-12  0.20231546E-30 -0.49063318E-30  0.97815665E-16 -0.18677318E-14 -0.19149705E-30 -0.18610558E-31
  0.35195815E-12  0.83517412E-12  0.12679388E-27 -0.37429875E-27 -0.21737767E-12 -0.21791459E-12  0.20604685E-30 -0.56962151E-30  0.52359281E-16 -0.20657799E-14 -0.22383266E-30 -0.80549485E-33
  0.39651915E-12  0.91726635E-12  0.12298393E-27 -0.43733774E-27 -0.24968477E-12 -0.22663407E-12  0.20533747E-30 -0.66109844E-30 -0.43383848E-17 -0.22886571E-14 -0.25988617E-30  0.23848704E-31
  0.44690467E-12  0.10128305E-11  0.11373484E-27 -0.51098677E-27 -0.28669085E-12 -0.23426818E-12  0.19850906E-30 -0.76685528E-30 -0.75078702E-16 -0.25402214E-14 -0.29959218E-30  0.57122766E-31
  0.50459175E-12  0.11249694E-11  0.97096727E-28 -0.59682399E-27 -0.32918600E-12 -0.24025371E-12  0.18343127E-30 -0.88888348E-30 -0.16346509E-15 -0.28249886E-14 -0.34267002E-30  0.10115797E-30
  0.57160994E-12  0.12575876E-11  0.70570514E-28 -0.69659741E-27 -0.37811047E-12 -0.24383453E-12  0.15741463E-30 -0.10293817E-29 -0.27414359E-15 -0.31482373E-14 -0.38853410E-30  0.15852922E-30
  0.65076488E-12  0.14156196E-11  0.30965220E-28 -0.81222574E-27 -0.43458313E-12 -0.24400014E-12  0.11707891E-30 -0.11907579E-29 -0.41311698E-15 -0.35161279E-14 -0.43617577E-30  0.23231588E-30
  0.74595937E-12  0.16053358E-11 -0.25783622E-28 -0.94579343E-27 -0.49993480E-12 -0.23940576E-12  0.58190669E-31 -0.13756258E-29 -0.58815595E-15 -0.39358357E-14 -0.48400796E-30  0.32618035E-30
  0.86265925E-12  0.18347529E-11 -0.10484728E-27 -0.10995385E-26 -0.57574703E-12 -0.22826878E-12 -0.24538386E-31 -0.15867911E-29 -0.80933953E-15 -0.44156984E-14 -0.52966112E-30  0.44445449E-30
  0.10085769E-11  0.21141917E-11 -0.21280736E-27 -0.12758314E-26 -0.66389721E-12 -0.20823543E-12 -0.13770319E-30 -0.18272274E-29 -0.10897689E-14 -0.49653781E-14 -0.56971543E-30  0.59223316E-30
  0.11946854E-11  0.24570413E-11 -0.35805684E-27 -0.14771430E-26 -0.76661133E-12 -0.17620992E-12 -0.28952264E-30 -0.21000360E-29 -0.14465160E-14 -0.55960388E-14 -0.59934849E-30  0.77547407E-30
  0.14367418E-11  0.28808147E-11 -0.55133947E-27 -0.17060014E-26 -0.88652658E-12 -0.12813669E-12 -0.49024382E-30 -0.24083872E-29 -0.19018940E-14 -0.63205384E-14 -0.61186978E-30  0.10011022E-29
